scenario,environment,target_rps,achieved_rps,latency_mean_ms,latency_p99_ms,cpu_app_millicores,cpu_sidecar_millicores,eventloop_lag_p99_ms
S5,local,50,50.000,3.4855,7.4781,82.924,23.527,3.167
S5,local,100,100.033,2.8779,7.2010,122.426,35.169,3.042
S5,local,150,150.000,2.5103,6.7758,149.235,45.784,2.986
S5,local,200,200.000,2.1764,5.5695,168.768,52.061,2.777
S5,local,250,250.033,2.0125,4.7430,193.539,58.882,2.773
S5,local,300,300.033,1.9758,5.1870,220.022,68.742,2.571
S5,local,350,350.000,2.1438,8.3362,262.697,83.697,3.034
S5,local,400,399.933,4.7024,91.1001,331.553,114.686,5.079
S5,local,450,449.533,5.2173,78.0437,382.673,140.348,6.173
S5,local,500,500.033,2.2721,11.2790,369.409,120.785,3.164
S5,local,550,550.033,3.8557,49.5680,433.133,147.481,4.536
S5,local,600,600.000,2.9171,21.2785,459.487,157.633,3.870
S5,local,650,650.033,2.7832,19.6770,490.475,167.027,3.466
S5,local,700,700.033,2.9112,20.6980,524.710,180.267,3.956
S5,local,750,750.033,5.2001,76.7680,575.824,197.954,5.599
S5,local,800,800.033,8.5184,103.1160,640.073,230.361,9.560
S5,local,850,850.033,19.5997,142.5870,734.028,279.038,20.900
S5,local,900,897.433,28.3395,301.1357,791.576,304.026,24.991
S5,local,950,940.967,88.3544,504.3912,876.631,345.597,99.351
S5,local,1000,990.000,104.7043,597.4208,913.424,348.162,105.449
