scenario,environment,target_rps,achieved_rps,latency_mean_ms,latency_p99_ms,cpu_app_millicores,cpu_sidecar_millicores,eventloop_lag_p99_ms
S8,local,50,50.033,2.6795,6.6030,49.758,22.509,3.049
S8,local,100,100.000,3.3665,14.0657,87.698,49.818,3.164
S8,local,150,150.000,5.0980,31.6140,139.721,105.024,4.197
S8,local,200,200.033,2.7057,10.7010,112.737,86.640,3.281
S8,local,250,250.033,3.1127,16.6220,126.695,101.334,3.622
S8,local,300,299.900,3.9483,31.0846,136.681,113.669,3.689
S8,local,350,350.000,2.3746,11.6141,143.369,120.311,3.244
S8,local,400,400.033,3.5207,19.6740,200.917,174.307,3.573
S8,local,450,450.033,2.8344,17.9960,181.985,165.865,3.485
S8,local,500,500.033,3.4056,25.5900,206.647,183.568,3.679
S8,local,550,550.033,3.6429,28.5350,234.406,223.640,3.672
S8,local,600,600.033,9.8704,107.1370,386.281,353.680,6.948
S8,local,650,649.600,8.6232,93.0054,397.430,366.019,6.365
S8,local,700,699.700,8.0979,89.3683,394.136,384.910,5.748
S8,local,750,750.033,8.9316,86.7890,441.528,425.568,7.501
S8,local,800,799.433,9.1293,80.0373,456.654,436.866,5.982
S8,local,850,850.033,11.1322,113.4130,462.028,461.841,7.345
S8,local,900,897.633,16.7613,229.6494,488.887,474.394,7.421
S8,local,950,950.000,17.2012,147.5742,554.188,539.106,11.619
S8,local,1000,997.933,20.7080,220.6421,551.185,538.117,11.794
