scenario,environment,target_rps,achieved_rps,latency_mean_ms,latency_p99_ms,cpu_app_millicores,cpu_sidecar_millicores,eventloop_lag_p99_ms
S3,local,50,50.033,3.2690,11.8890,39.872,27.242,2.866
S3,local,100,100.033,2.5539,8.1610,75.909,40.023,2.765
S3,local,150,150.000,2.3453,8.1265,83.874,53.595,2.931
S3,local,200,200.033,2.2486,10.9300,92.648,66.493,3.285
S3,local,250,250.033,2.6303,17.1770,111.385,85.594,3.509
S3,local,300,300.033,2.0007,9.9310,107.981,88.730,2.702
S3,local,350,350.033,1.8805,10.1960,111.735,94.362,3.025
S3,local,400,400.000,1.9244,11.6126,124.177,105.500,3.062
S3,local,450,450.033,1.9133,11.9710,135.702,117.070,3.171
S3,local,500,500.033,1.8194,12.1680,142.239,127.831,2.653
S3,local,550,550.033,1.7308,9.7050,147.920,132.536,2.703
S3,local,600,600.033,1.7698,10.3490,157.606,144.615,2.567
S3,local,650,650.033,1.8804,13.1480,171.515,158.783,2.542
S3,local,700,700.033,2.0491,14.4720,186.519,176.391,2.511
S3,local,750,750.033,2.4567,27.4760,193.404,183.811,2.705
S3,local,800,800.033,2.0487,15.4330,203.845,193.954,2.557
S3,local,850,850.000,1.8255,11.8231,211.836,203.329,2.397
S3,local,900,900.033,1.9198,12.4440,221.263,216.898,2.551
S3,local,950,950.033,1.9458,13.6610,234.428,228.605,2.551
S3,local,1000,1000.033,1.9990,13.1290,247.551,249.296,2.382
