scenario,environment,target_rps,achieved_rps,latency_mean_ms,latency_p99_ms,cpu_app_millicores,cpu_sidecar_millicores,eventloop_lag_p99_ms
S1,local,50,50.033,3.0704,7.5180,48.563,26.055,2.712
S1,local,100,99.967,5.4593,80.1664,90.392,57.335,4.237
S1,local,150,150.033,3.1008,18.5610,93.253,63.054,3.621
S1,local,200,200.000,4.1937,55.6502,107.213,80.488,3.666
S1,local,250,250.033,1.9840,7.9210,87.270,70.440,2.816
S1,local,300,300.033,2.2997,12.5620,115.250,92.332,3.129
S1,local,350,350.000,2.0792,10.9303,121.101,99.776,2.972
S1,local,400,400.033,2.3538,15.8550,135.618,113.860,3.061
S1,local,450,450.033,3.8362,47.4480,181.554,149.368,3.713
S1,local,500,495.433,16.0682,318.8703,251.505,213.328,8.822
S1,local,550,549.700,4.4164,89.2300,194.001,161.764,3.639
S1,local,600,600.033,1.9076,12.5690,166.313,149.000,2.632
S1,local,650,650.033,1.9429,12.6900,175.377,162.810,2.586
S1,local,700,700.000,2.2622,22.1551,189.658,177.271,2.700
S1,local,750,750.033,2.0451,14.0760,199.662,188.178,2.514
S1,local,800,800.033,1.9631,12.8510,203.703,192.918,2.426
S1,local,850,850.033,3.0855,35.3810,230.544,214.194,2.610
S1,local,900,900.033,2.1312,17.5550,224.412,215.306,2.366
S1,local,950,940.833,15.8469,390.3680,319.371,298.393,6.573
S1,local,1000,1000.000,4.5143,69.6708,296.686,283.658,3.376
