scenario,environment,target_rps,achieved_rps,latency_mean_ms,latency_p99_ms,cpu_app_millicores,cpu_sidecar_millicores,eventloop_lag_p99_ms
S9,local,50,50.000,3.0599,6.6441,108.606,21.543,2.920
S9,local,100,100.033,2.3338,5.8110,136.377,29.562,2.887
S9,local,150,150.033,2.0693,5.2970,165.611,37.987,2.859
S9,local,200,200.033,2.1020,8.1210,198.888,49.760,3.022
S9,local,250,248.133,43.5294,774.0350,426.539,135.363,23.205
S9,local,300,300.000,3.7170,22.7962,421.299,118.741,3.481
S9,local,350,350.000,3.0585,19.2872,396.462,115.575,3.165
S9,local,400,400.033,2.4760,14.3770,364.296,106.899,2.934
S9,local,450,450.033,2.3719,9.5000,422.465,124.524,2.919
S9,local,500,494.867,28.9935,501.0105,516.118,160.180,19.220
S9,local,550,550.033,5.8608,96.9470,540.904,177.709,6.313
S9,local,600,594.133,39.6609,853.6319,675.788,230.471,23.645
S9,local,650,647.600,52.3204,826.6933,755.499,246.191,33.398
S9,local,700,689.133,93.4427,2099.2434,837.335,291.530,69.735
S9,local,750,723.800,381.9979,9525.3565,944.944,340.858,199.680
S9,local,800,394.833,1338.1202,9647.2417,952.917,406.474,357.979
S9,local,850,17.367,6036.8850,15499.3586,902.483,290.571,
S9,local,900,69.500,9375.7474,37451.0482,959.301,431.800,
S9,local,950,106.333,7701.8619,35509.3175,974.278,528.579,
S9,local,1000,140.167,13854.7332,38089.3985,997.228,686.311,160.301
